Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
11.889,0.121,0.000,11.562,0.003,0.305,11.154,0.065,0.542,0.387,10.145,
4.714,0.106,0.000,4.445,0.003,0.298,4.062,0.076,0.542,0.379,3.049,
4.032,0.087,0.000,3.790,0.003,0.267,3.440,0.056,0.431,0.300,2.638,
3.953,0.145,0.000,3.646,0.003,0.331,3.210,0.085,0.585,0.424,2.096,
3.995,0.133,0.000,3.701,0.003,0.324,3.266,0.089,0.573,0.418,2.167,
4.041,0.169,0.000,3.708,0.003,0.329,3.270,0.084,0.565,0.464,2.137,
4.016,0.130,0.000,3.723,0.003,0.322,3.307,0.085,0.617,0.447,2.137,
12.167,0.157,0.000,11.826,0.003,0.330,11.392,0.079,0.596,0.414,10.284,
4.284,0.153,0.000,3.965,0.003,0.347,3.511,0.079,0.643,0.442,2.326,
4.799,0.188,0.000,4.445,0.003,0.510,3.809,0.100,0.616,0.409,2.665,
4.766,0.138,0.000,4.463,0.003,0.336,4.022,0.082,0.695,0.374,2.853,
4.128,0.157,0.000,3.807,0.002,0.324,3.393,0.082,0.616,0.437,2.239,
4.411,0.186,0.000,4.065,0.002,0.304,3.669,0.072,0.520,0.396,2.662,
14.868,0.135,0.000,14.567,0.002,0.335,14.091,0.077,0.580,0.409,13.007,
3.947,0.118,0.000,3.665,0.003,0.300,3.264,0.066,0.630,0.377,2.174,
3.879,0.176,0.000,3.511,0.003,0.295,3.124,0.066,0.530,0.370,2.141,
3.996,0.224,0.000,3.608,0.002,0.300,3.212,0.074,0.530,0.380,2.212,
3.908,0.121,0.000,3.624,0.003,0.292,3.225,0.072,0.528,0.378,2.231,
3.924,0.115,0.000,3.646,0.003,0.291,3.260,0.073,0.524,0.371,2.276,
3.979,0.123,0.000,3.693,0.002,0.296,3.296,0.072,0.625,0.381,2.204,
11.914,0.119,0.000,11.632,0.003,0.349,11.192,0.069,0.532,0.372,10.203,
4.832,0.122,0.000,4.546,0.003,0.297,4.149,0.067,0.529,0.371,3.167,
3.885,0.117,0.000,3.604,0.002,0.400,3.113,0.068,0.535,0.376,2.117,
3.908,0.137,0.000,3.608,0.002,0.297,3.216,0.066,0.531,0.381,2.223,
4.122,0.118,0.000,3.843,0.002,0.295,3.451,0.073,0.522,0.367,2.473,
3.899,0.116,0.000,3.622,0.002,0.294,3.239,0.073,0.523,0.370,2.258,
3.942,0.122,0.000,3.657,0.002,0.294,3.266,0.075,0.527,0.412,2.236,
11.866,0.124,0.000,11.581,0.003,0.294,11.182,0.108,0.532,0.377,10.149,
4.792,0.129,0.000,4.499,0.003,0.342,4.054,0.079,0.591,0.408,2.956,
3.925,0.126,0.000,3.637,0.003,0.324,3.210,0.099,0.577,0.399,2.116,
3.971,0.148,0.000,3.662,0.003,0.321,3.231,0.078,0.570,0.407,2.157,
3.972,0.134,0.000,3.673,0.003,0.338,3.223,0.086,0.617,0.431,2.069,
