Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
10.000,0.147,0.000,9.602,0.003,1.280,8.186,0.459,4.765,2.505,0.330,
9.925,0.140,0.000,9.537,0.003,1.332,8.072,0.437,4.833,2.328,0.355,
10.040,0.140,0.000,9.659,0.003,1.307,8.210,0.453,4.626,2.612,0.397,
9.836,0.261,0.000,9.327,0.004,1.291,7.920,0.416,4.761,2.282,0.345,
9.983,0.140,0.000,9.632,0.004,1.279,8.224,0.373,4.776,2.572,0.392,
9.792,0.129,0.000,9.456,0.005,1.337,7.987,0.459,4.765,2.308,0.334,
10.111,0.129,0.000,9.773,0.003,1.317,8.324,0.433,4.714,2.658,0.399,
9.737,0.136,0.000,9.390,0.004,1.387,7.868,0.448,4.675,2.274,0.350,
9.955,0.136,0.000,9.607,0.004,1.316,8.166,0.392,4.730,2.570,0.357,
9.810,0.130,0.000,9.471,0.003,1.303,8.038,0.392,4.786,2.376,0.371,
9.966,0.099,0.000,9.654,0.003,1.290,8.241,0.441,4.721,2.603,0.349,
9.692,0.118,0.000,9.372,0.003,1.293,7.950,0.465,4.645,2.352,0.369,
9.985,0.137,0.000,9.635,0.003,1.321,8.179,0.452,4.615,2.583,0.400,
9.701,0.140,0.000,9.349,0.004,1.347,7.888,0.388,4.669,2.377,0.340,
10.503,0.127,0.000,10.166,0.003,1.262,8.745,0.396,4.661,3.118,0.452,
10.546,0.093,0.000,10.233,0.004,1.602,8.500,0.488,4.974,2.548,0.363,
10.401,0.128,0.000,10.062,0.004,1.354,8.584,0.420,4.949,2.677,0.414,
10.003,0.134,0.000,9.573,0.003,1.337,8.110,0.432,4.797,2.374,0.389,
10.538,0.254,0.000,10.066,0.004,1.366,8.579,0.464,4.800,2.710,0.482,
9.811,0.133,0.000,9.465,0.003,1.334,7.992,0.453,4.757,2.251,0.405,
10.264,0.098,0.000,9.954,0.004,1.274,8.544,0.446,4.851,2.655,0.476,
10.092,0.199,0.000,9.674,0.003,1.339,8.201,0.459,4.892,2.378,0.349,
9.844,0.100,0.000,9.532,0.003,1.260,8.145,0.402,4.685,2.511,0.425,
9.946,0.200,0.000,9.531,0.003,1.322,8.076,0.442,4.861,2.284,0.368,
10.220,0.221,0.000,9.790,0.003,1.259,8.407,0.387,4.716,2.787,0.400,
9.847,0.145,0.000,9.494,0.004,1.312,8.055,0.469,4.810,2.300,0.348,
10.377,0.167,0.000,9.998,0.003,1.331,8.539,0.446,4.903,2.663,0.405,
9.852,0.163,0.000,9.482,0.004,1.322,8.026,0.447,4.757,2.312,0.390,
10.167,0.149,0.000,9.806,0.003,1.289,8.396,0.413,4.873,2.611,0.375,
9.833,0.149,0.000,9.477,0.003,1.282,8.076,0.401,4.716,2.473,0.371,
10.081,0.140,0.000,9.726,0.003,1.298,8.310,0.398,4.731,2.713,0.348,
9.751,0.137,0.000,9.407,0.003,1.242,8.026,0.447,4.743,2.333,0.381,
10.292,0.154,0.000,9.922,0.003,1.304,8.485,0.474,4.818,2.674,0.392,
9.673,0.135,0.000,9.325,0.003,1.280,7.917,0.396,4.646,2.399,0.361,
10.026,0.130,0.000,9.689,0.003,1.226,8.326,0.433,4.682,2.702,0.383,
9.846,0.136,0.000,9.497,0.004,1.259,8.099,0.406,4.808,2.340,0.429,
10.199,0.139,0.000,9.846,0.004,1.300,8.412,0.402,4.799,2.720,0.375,
9.703,0.137,0.000,9.354,0.004,1.294,7.931,0.407,4.754,2.251,0.402,
10.066,0.214,0.000,9.639,0.003,1.279,8.242,0.393,4.767,2.570,0.396,
9.801,0.181,0.000,9.408,0.003,1.271,7.999,0.460,4.714,2.311,0.395,
9.857,0.110,0.000,9.530,0.003,1.258,8.141,0.417,4.648,2.543,0.409,
9.686,0.170,0.000,9.301,0.004,1.308,7.879,0.417,4.669,2.330,0.348,
9.691,0.096,0.000,9.390,0.004,1.260,8.005,0.360,4.677,2.448,0.407,
9.865,0.096,0.000,9.554,0.003,1.337,8.090,0.451,4.771,2.383,0.361,
9.851,0.102,0.000,9.536,0.004,1.372,8.035,0.395,4.556,2.586,0.379,
9.712,0.102,0.000,9.403,0.004,1.276,7.997,0.396,4.787,2.324,0.374,
10.101,0.140,0.000,9.749,0.004,1.316,8.308,0.422,4.694,2.695,0.374,
9.599,0.100,0.000,9.289,0.003,1.304,7.854,0.401,4.660,2.302,0.373,
9.989,0.139,0.000,9.636,0.003,1.303,8.206,0.407,4.591,2.712,0.374,
9.754,0.187,0.000,9.355,0.003,1.310,7.905,0.445,4.598,2.345,0.396,
10.314,0.140,0.000,9.960,0.004,1.281,8.499,0.459,4.829,2.686,0.395,
9.631,0.141,0.000,9.281,0.003,1.307,7.851,0.413,4.608,2.352,0.362,
10.227,0.141,0.000,9.875,0.004,1.315,8.420,0.488,4.767,2.634,0.401,
9.835,0.095,0.000,9.528,0.004,1.383,8.028,0.404,4.747,2.424,0.335,
9.824,0.085,0.000,9.536,0.004,1.256,8.150,0.499,4.599,2.513,0.413,
9.879,0.101,0.000,9.563,0.004,1.291,8.145,0.498,4.771,2.385,0.366,
9.970,0.143,0.000,9.613,0.004,1.294,8.182,0.439,4.664,2.579,0.380,
9.745,0.131,0.000,9.400,0.004,1.286,7.986,0.425,4.632,2.397,0.410,
10.039,0.149,0.000,9.667,0.003,1.295,8.249,0.426,4.720,2.524,0.427,
