Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
2.945,0.225,0.000,2.498,0.004,0.424,1.989,0.059,0.462,0.231,1.223,
2.933,0.447,0.000,2.263,0.004,0.428,1.741,0.060,0.470,0.447,0.751,
2.887,0.118,0.000,2.560,0.004,0.438,2.046,0.045,0.405,0.198,1.386,
11.639,0.117,0.000,11.323,0.005,0.390,10.858,0.039,0.405,0.291,10.113,
3.603,0.134,0.000,3.232,0.004,0.496,2.627,0.069,0.546,0.459,1.535,
2.906,0.134,0.000,2.534,0.004,0.465,1.951,0.067,0.543,0.364,0.959,
2.783,0.131,0.000,2.417,0.005,0.489,1.817,0.070,0.540,0.363,0.828,
3.075,0.096,0.000,2.744,0.004,0.399,2.257,0.045,0.412,0.212,1.575,
3.078,0.138,0.000,2.707,0.004,0.524,2.066,0.073,0.538,0.453,0.985,
11.447,0.137,0.000,11.077,0.004,0.495,10.469,0.070,0.529,0.363,9.489,
3.602,0.138,0.000,3.227,0.004,0.471,2.646,0.069,0.535,0.366,1.659,
2.905,0.133,0.000,2.535,0.004,0.468,1.952,0.070,0.532,0.365,0.966,
2.810,0.147,0.000,2.428,0.004,0.476,1.842,0.068,0.532,0.359,0.866,
3.086,0.103,0.000,2.766,0.004,0.412,2.261,0.050,0.437,0.212,1.548,
2.928,0.197,0.000,2.497,0.004,0.493,1.896,0.068,0.540,0.451,0.819,
11.568,0.170,0.000,11.165,0.004,0.491,10.562,0.066,0.549,0.361,9.569,
3.580,0.133,0.000,3.208,0.004,0.486,2.614,0.070,0.539,0.366,1.623,
7.778,0.196,0.000,7.348,0.004,0.464,6.767,0.078,0.538,0.370,5.763,
3.029,0.175,0.000,2.632,0.004,0.510,1.974,0.125,0.660,0.434,0.728,
2.975,0.144,0.000,2.620,0.004,0.483,2.018,0.085,0.621,0.412,0.878,
2.928,0.154,0.000,2.557,0.005,0.494,1.938,0.096,0.664,0.433,0.724,
6.955,0.156,0.000,6.583,0.004,0.494,5.965,0.090,0.622,0.571,4.658,
3.563,0.145,0.000,3.201,0.004,0.497,2.578,0.086,0.675,0.425,1.370,
3.039,0.145,0.000,2.679,0.004,0.502,2.051,0.078,0.666,0.408,0.879,
2.683,0.125,0.000,2.315,0.004,0.513,1.702,0.096,0.582,0.439,0.568,
3.020,0.103,0.000,2.704,0.004,0.411,2.204,0.050,0.425,0.208,1.507,
2.950,0.152,0.000,2.587,0.004,0.507,1.962,0.094,0.609,0.565,0.672,
2.981,0.102,0.000,2.664,0.004,0.515,2.051,0.078,0.563,0.256,1.133,
2.978,0.085,0.000,2.656,0.004,0.464,2.084,0.084,0.533,0.385,1.063,
12.076,0.157,0.000,11.711,0.004,0.497,11.111,0.077,0.731,0.587,9.697,
3.684,0.162,0.000,3.231,0.005,0.587,2.522,0.082,0.637,0.395,1.385,
3.619,0.128,0.000,3.255,0.004,0.464,2.675,0.069,0.594,0.367,1.628,
3.419,0.188,0.000,2.990,0.005,0.498,2.378,0.105,0.558,0.373,1.323,
3.463,0.327,0.000,2.894,0.004,0.517,2.244,0.094,0.551,0.380,1.201,
3.983,0.167,0.000,3.580,0.005,0.536,2.927,0.073,0.548,0.367,1.920,
13.700,0.163,0.000,13.254,0.005,0.466,12.684,0.065,0.525,0.228,11.849,
2.924,0.153,0.000,2.526,0.004,0.469,1.938,0.075,0.559,0.476,0.810,
2.977,0.169,0.000,2.545,0.004,0.464,1.969,0.070,0.541,0.370,0.971,
2.904,0.180,0.000,2.489,0.004,0.525,1.858,0.065,0.544,0.368,0.862,
3.178,0.177,0.000,2.766,0.004,0.465,2.188,0.104,0.553,0.367,1.146,
2.867,0.146,0.000,2.485,0.005,0.481,1.889,0.070,0.579,0.373,0.851,
2.926,0.132,0.000,2.560,0.004,0.465,1.984,0.067,0.533,0.404,0.962,
2.911,0.132,0.000,2.545,0.004,0.473,1.955,0.067,0.533,0.347,0.990,
11.403,0.144,0.000,11.026,0.004,0.461,10.447,0.069,0.535,0.353,9.472,
3.629,0.137,0.000,3.256,0.004,0.497,2.648,0.068,0.542,0.356,1.626,
2.918,0.146,0.000,2.537,0.004,0.506,1.923,0.066,0.537,0.364,0.937,
2.925,0.139,0.000,2.553,0.005,0.482,1.957,0.069,0.579,0.356,0.934,
2.935,0.144,0.000,2.557,0.004,0.467,1.975,0.072,0.574,0.362,0.947,
2.962,0.144,0.000,2.584,0.004,0.475,1.991,0.076,0.541,0.361,0.996,
2.926,0.130,0.000,2.563,0.004,0.463,1.985,0.069,0.534,0.356,1.006,
2.774,0.133,0.000,2.406,0.004,0.468,1.832,0.067,0.534,0.363,0.850,
11.571,0.186,0.000,11.168,0.004,0.411,10.673,0.052,0.441,0.217,9.950,
3.673,0.133,0.000,3.287,0.004,0.466,2.711,0.071,0.542,0.494,1.585,
2.829,0.149,0.000,2.446,0.004,0.462,1.872,0.065,0.582,0.350,0.859,
2.934,0.131,0.000,2.570,0.004,0.493,1.963,0.068,0.534,0.389,0.954,
2.951,0.137,0.000,2.580,0.004,0.458,2.009,0.070,0.534,0.367,1.021,
2.764,0.136,0.000,2.394,0.004,0.472,1.813,0.068,0.541,0.363,0.825,
3.093,0.098,0.000,2.784,0.004,0.402,2.296,0.045,0.416,0.206,1.616,
11.478,0.201,0.000,11.044,0.004,0.471,10.465,0.068,0.540,0.455,9.383,
3.629,0.148,0.000,3.245,0.005,0.466,2.669,0.067,0.540,0.364,1.680,
2.895,0.147,0.000,2.514,0.004,0.482,1.913,0.066,0.541,0.400,0.888,
2.916,0.134,0.000,2.549,0.004,0.462,1.977,0.070,0.536,0.370,0.983,
2.766,0.146,0.000,2.387,0.004,0.482,1.794,0.070,0.540,0.363,0.804,
3.130,0.104,0.000,2.813,0.005,0.408,2.280,0.045,0.429,0.210,1.583,
11.398,0.276,0.000,10.885,0.004,0.473,10.298,0.093,0.542,0.481,9.164,
3.652,0.151,0.000,3.264,0.005,0.462,2.687,0.069,0.534,0.392,1.674,
2.918,0.144,0.000,2.539,0.004,0.456,1.964,0.067,0.542,0.407,0.931,
2.858,0.140,0.000,2.483,0.004,0.467,1.903,0.068,0.536,0.363,0.920,
2.933,0.148,0.000,2.552,0.004,0.463,1.974,0.067,0.538,0.362,0.990,
